,Index,Dish,Instructions,Ingredients
0,644563,Five Hour Beef Stew,"""Layer ingredients in Pyrex bowl and cover with aluminum foil. Bake 5 hours in 250\u00b0 oven.""","""stew meat"", ""carrots"", ""potatoes"", ""stalks celery"", ""green pepper"", ""onion"", ""tapioca"", ""salt"", ""sugar"", ""tomato juice"""
1,2067892,Pita Bread (Egyptian and Greek),"""Mix the ingredients with 3 deciliter (1 1/2 c?)"", ""lukewarm water and knead the dough for 10 minutes."", ""Put the dough in an oiled bowl and let it rise one and a half hour."", ""Divide into 12 balls."", ""Roll the balls out to flat thin circles."", ""Let them rise 45 more minutes."", ""Bake 10-15 minutes in the oven at 200 degrees."", "".""","""yeast"", ""salt"", ""olive oil"""
2,985324,Cranberry And Grand Marnier Relish,"""Chop cranberries in food processor and remove to a large bowl."", ""Chop apples in food processor and add to cranberries."", ""Stir in all remaining ingredients."", ""Cover and refrigerate at least overnight. You can make this up to a month ahead and keep refrigerated.""","""fresh cranberries"", ""granny smith apples"", ""sugar"", ""orange marmalade"", ""lemon juice"", ""Grand Marnier"", ""walnuts"", ""cinnamon"""
3,1832253,Fried Chicken And Blueberry Pancake Tacos,"""This is not the best fried chicken ever, but it is the perfect fried chicken to make en masse and wrap up in blueberry pancakes."", ""Trim chicken tenders of any fat or sinew."", ""Coat in flour, dip in the egg wash, and then coat in the bread crumb mix."", ""Preheat 2 inches of oil to 350F."", ""Drop the tenders in one at a time (without crowding the pot)."", ""Once they're golden brown, remove carefully with tongs and drain on paper towels.""","""chicken tenders"", ""flour"", ""bread crumbs"", ""salt"", ""pepper"", ""cayenne pepper"", ""eggs +"", ""flour"", ""white sugar"", ""brown sugar"", ""salt"", ""eggs"", ""buttermilk"", ""butter"", ""blueberries"", ""maple syrup"", ""butter"", ""red pepper"""
4,821664,Green Pepper Steak,"""Cut beef across grain into strips 1/8-inch thick."", ""Combine soy sauce, garlic, ginger and beef."", ""Toss and set aside while preparing vegetables."", ""Heat oil in large frying pan."", ""Add beef and toss over high heat until browned."", ""Turn heat up and toss vegetables."", ""Toss vegetables until tender-crisp. Mix cornstarch with water."", ""Add to pan."", ""Stir and cook until thickened."", ""Add tomatoes and heat well."", ""Can be served over rice.""","""beef chuck"", ""soy sauce"", ""clove garlic"", ""ginger"", ""salad oil"", ""onion"", ""red"", ""cornstarch"", ""water"", ""tomatoes"""
5,568165,Chicken And Broccoli Casserole,"""Cook"", ""and bone\tchicken."", ""Cook\tbroccoli"", ""according"", ""to package directions."", ""In"", ""casserole\tdish,"", ""place"", ""broccoli and then chicken."", ""Cover with"", ""cream of chicken soup, curry powder and mayonnaise (mixed together)."", ""Top"", ""with bread crumbs (5 to 6 slices) and Cheez Whiz."", ""Bake at 350\u00b0 for 40 to 45 minutes.""","""chicken breasts"", ""broccoli cuts"", ""cream of chicken soup"", ""curry powder"", ""mayonnaise"", ""margarine"""
6,895087,Cheese Straws,"""Cream mixture together and"", ""mix."", ""Drop by teaspoon onto buttered cookie sheet and press"", ""with"", ""fork"", ""to flatten into a cookie shape."", ""Bake at 375\u00b0 for 10 minutes.""","""Cheddar cheese"", ""butter"", ""flour"", ""Rice Krispies"", ""cayenne pepper"""
7,755788,Dirt Cake,"""Crush Oreos in food processor."", ""Cream powdered sugar, cream cheese, pudding and milk."", ""Add Cool Whip until smooth."", ""Layer cookies and filling in small bucket or clay pot."", ""Top layer should be cookies."", ""Serve with garden shovel."", ""Put silk flowers in center for decorations.""","""Oreos"", ""cream cheese"", ""butter"", ""vanilla pudding"", ""milk"", ""powdered sugar"""
8,1283985,Roast Leg Of Lamb Provencal ,"""Directions for Lamb"", """", ""1. Strip the leaves off 2 rosemary sprigs. Finely chop the leaves of 1 sprig. Set aside the remainder of the bunch of rosemary."", ""2. Using the tip of a sharp, slender knife, make a series of 1/2-inch-deep holes in the lamb, mostly in the sheath of fat on top, but also on the sides and bottom. The holes should be about 1 inch apart. Insert the garlic, olives, and whole rosemary leaves in the holes, one flavoring per hole."", ""3. Spray the leg of lamb on all sides with oil. Combine the salt, herbes de Provence, peppercorns, and chopped rosemary leaves and sprinkle them all over the lamb, patting them on with your fingertips."", ""4. Set up the grill for indirect grilling and preheat to medium. If using a charcoal grill, place a drip pan in the center. If using a gas grill, place all the wood chips, if desired, in the smoker box or in a smoker pouch and preheat on high until you see smoke, then reduce the heat to medium."", ""5. When ready to cook, if using a charcoal grill, toss half of the wood chips, if desired, on the coals. Place the lamb on the hot grate, away from the heat, and cover the grill. Grill until cooked to taste, 1-1/2 to 2 hours for medium-rare. Every 30 minutes, baste the leg of lamb with extra virgin olive oil, using the remaining rosemary sprigs as a basting brush. To test for doneness, insert an instant-read meat thermometer into the thickest part of the leg but not touching the bone: The internal temperature will be about 125\u00b0F for rare; 145\u00b0F for medium-rare; and 160\u00b0F for medium. If using a charcoal grill, you'll need to add 12 fresh coals and 1/2 cup wood chips to each side after 1 hour of grilling."", ""6. Transfer the lamb to a cutting board, let rest for 10 minutes, then carve and serve."", ""7. Note: You'll need 2 cups wood chips (optional; preferably oak), soaked for 1 hour in cold water to cover then drained; spray bottle""",
9,1792600,Pecan And Pear Upside-Down Cake,"""Preheat the oven to 350F."", ""Melt the butter and sugar in a heavy skillet, about 10 to 12 inches in diameter, over low heat."", ""Peel and core the pears and cut them into slices about 1/2 inch thick, and place them on top of the butter and sugar."", ""Cook these over low heat until just tender, then turn the heat up and cook them until lightly caramelized."", ""Scatter the cranberries and pecans on top and gently mix all the fruit around."", ""For the cake, cream the butter and sugar in a stand mixer and add the egg yolks and a drop of vanilla."", ""Mix in half the flour along with the baking powder."", ""Add the milk and then the other half of the flour."", ""Mix until smooth."", ""Beat the egg whites until they form medium peaks."", ""Working quickly, fold into the cake mix with a large spoon."", ""Spread the batter over the pears and bake in the preheated oven for 35 to 40 minutes, or until a skewer inserted into the cake comes out clean."", ""Let the cake cool for 10 minutes before turning it outbut no longer, or the caramelized fruit will stick to the pan."", ""If this does happen, carefully lever the pears off the pan and lay them on to the cake with their dark, caramelized side upward.""","""butter"", ""sugar"", ""cranberries"", ""pecans"", ""butter"", ""sugar"", ""eggs"", ""vanilla"", ""flour"", ""baking powder"", ""milk"""
10,1051701,Gooseberry Ketchup,"""Combine all ingredients in a saucepan. Bring to boiling; reduce heat."", ""Simmer, uncovered for 10 minutes, stirring often."", ""Press mixture through a fine-mesh sieve; discard skins."", ""Cover and chill for 2 hours or up to 2 weeks.""","""fresh gooseberry"", ""tomato paste"", ""sugar"", ""garlic"", ""onions"", ""Worcestershire sauce"", ""salt"""
11,670717,Lane'S Brunswick Stew,"""Cook meat until well done, then remove from bone."", ""(Meat cooked in pressure cooker is quicker and easier.)"", ""Save broth from beef and chicken."", ""Put meat through grinder."", ""Peel onions and potatoes and put through grinder."", ""Put into broth and cook until done. (Corn and tomatoes should be run through grinder.)"", ""Add meats, corn, tomato paste and tomatoes or juice to potatoes and onions. Add butter, barbecue sauce, Texas Pete and vinegar."", ""Add catsup last along with brown sugar, salt and pepper."", ""Cook until well blended and has desired taste.""","""pork"", ""beef"", ""chicken"", ""potatoes"", ""onions"", ""corn"", ""tomato paste"", ""tomatoes"", ""catsup"", ""barbecue sauce"", ""vinegar"", ""butter"", ""brown sugar"", ""salt"""
12,329332,Southern Corn Cakes,"""Heat griddle slowly while mixing batter."", ""Beat egg well, then beat in rest of ingredients until smooth."", ""Spoon onto hot griddle. Makes 16.""","""egg"", ""buttermilk"", ""shortening"", ""corn meal"", ""flour"", ""sugar"", ""salt"", ""baking powder"", ""baking soda"""
13,213003,"Polenta-Italian ""Pasta"" Dish","""Melt butter."", ""Add water, cornmeal and salt."", ""Cook slowly on low for 20 to 30 minutes, stirring often with wooden spoon."", ""Stir in cheese and cook a few minutes more."", ""Serve with tomato or mushroom sauce or additional cheese and butter."", ""Goes well with sharp flavored on marinated vegetables."", ""Excellent leftovers; I like it cold, straight out of the refrigerator.""","""water"", ""salt"", ""Parmesan cheese"", ""yellow cornmeal"", ""butter"""
14,1406127,"Individual Chocolate And Candied Ginger Ricotta ""Cheesecakes""","""Preheat oven to 300 degrees F. In the bowl of a stand mixer, beat the ricotta cheese together with the yogurt. Add the eggs and cocoa powder and mix on low-medium speed until well blended."", ""Mix in the sugar and the honey, then add the crystallized ginger. Remove the bowl and mix by hand for a bit to make sure all the ingredients are well blended and the ginger pieces are incorporated throughout."", ""Pour chocolate mixture into ramekins: if using small ones, you should be able to make 6 desserts."", ""Place the ramekins on a sheet pan and place in the oven. Bake for about 1 hour, until the cheesecakes are set. These are great right out of the oven, or after they've chilled in the refrigerator.""","""ricotta cheese"", ""milk yogurt"", ""eggs"", ""cocoa"", ""cane sugar"", ""honey"", ""ginger"""
15,1904857,Lamb with mint and garlic,"""Unroll the lamb."", ""Place fat side down and trim off any excess fat."", ""In a small bowl combine the mint, bacon, garlic, paprika, salt, pepper, and 2 tablespoons of the vinegar."", ""Mix to a paste."", ""Rub the paste evenly over the inside of the lamb roast."", ""Roll the lamb back up and tie with kitchen string."", ""Wrap up and refridgerate for 12-24 hours."", ""When ready to cook preheat your oven to 400 degrees F."", ""Unwrap the lamb."", ""Place the lamb on a rack in a roasting pan."", ""In a small bowl mix the olive oil and 3 tablespoons of red wine vinegar."", ""Brush some of it over the lamb."", ""You can sprinkle the lamb with some salt and pepper if you wish."", ""Roast the lamb, basting with the oil mixture occasionally until it's done to your liking."", ""About 1 hour for medium."", ""Serve in slices with roast vegetables.""","""lamb roast"", ""mint"", ""bacon"", ""garlic"", ""paprika"", ""salt"", ""ground pepper"", ""red wine vinegar"", ""olive oil"""
16,732858,Fried Chicken,"""Wash and season chicken."", ""Roll chicken pieces in a plate of flour."", ""Put oil in frying pan under medium fire."", ""Put chicken in pan and brown.""","""chicken"", ""corn oil"", ""flour"""
